campaign_id,campaign_name,date,target_audience,channel,impressions,clicks,conversions,spend,revenue_generated,roas,calculated_roas,ctr,conversion_rate,cpc,cpa
512075,New User Discount,2023-01-01,Premium,Social Media,900,250,51,52.47,424.37,1.59,8.087859729369164,0.2777777777777778,0.204,0.20987999999999998,1.0288235294117647
460560,Weekend Special,2023-01-01,Inactive,Social Media,859,180,26,76.02,454.5,1.68,5.978689818468824,0.20954598370197905,0.14444444444444443,0.42233333333333334,2.9238461538461538
548078,Festival Offer,2023-01-01,Inactive,SMS,625,262,66,68.48,123.47,3.23,1.8030081775700932,0.4192,0.25190839694656486,0.26137404580152673,1.0375757575757576
626576,Flash Sale,2023-01-01,New Users,App,521,145,89,85.24,104.53,3.61,1.2263022055373065,0.2783109404990403,0.6137931034482759,0.5878620689655172,0.957752808988764
341960,Membership Drive,2023-01-01,All,App,578,74,56,91.02,413.88,2.08,4.547132498352011,0.12802768166089964,0.7567567567567568,1.23,1.6253571428571427
608514,Category Promotion,2023-01-01,New Users,Social Media,484,254,99,54.11,343.43,2.99,6.346885973017927,0.5247933884297521,0.38976377952755903,0.21303149606299213,0.5465656565656566
535017,App Push Notification,2023-01-01,New Users,App,539,284,100,67.84,486.38,3.09,7.1695165094339615,0.5269016697588126,0.352112676056338,0.23887323943661973,0.6784
758993,Email Campaign,2023-01-01,New Users,Social Media,738,58,29,84.6,377.26,2.67,4.459338061465721,0.07859078590785908,0.5,1.4586206896551723,2.9172413793103447
320433,Referral Program,2023-01-01,All,SMS,645,171,79,92.65,290.14,2.49,3.1315704263356716,0.2651162790697674,0.4619883040935672,0.5418128654970761,1.1727848101265823
368494,New User Discount,2023-01-02,New Users,SMS,887,81,94,51.5,381.5,2.08,7.407766990291262,0.09131905298759865,1.1604938271604939,0.6358024691358025,0.5478723404255319
648604,Weekend Special,2023-01-02,All,Social Media,521,85,80,87.54,367.1,3.48,4.193511537582819,0.16314779270633398,0.9411764705882353,1.0298823529411765,1.0942500000000002
704171,Festival Offer,2023-01-02,Premium,App,934,226,58,79.87,302.06,2.62,3.7818955803180168,0.24197002141327623,0.25663716814159293,0.3534070796460177,1.3770689655172415
744431,Flash Sale,2023-01-02,Premium,Social Media,687,134,63,63.28,172.83,3.85,2.731194690265487,0.1950509461426492,0.4701492537313433,0.4722388059701493,1.0044444444444445
974213,Membership Drive,2023-01-02,Inactive,Email,748,237,91,81.22,353.29,2.47,4.349790691947796,0.31684491978609625,0.38396624472573837,0.34270042194092826,0.8925274725274726
683606,Category Promotion,2023-01-02,Premium,Social Media,973,237,86,57.23,224.74,1.87,3.926961383889569,0.24357656731757452,0.3628691983122363,0.24147679324894514,0.6654651162790697
881025,App Push Notification,2023-01-02,Premium,SMS,813,154,95,96.77,318.53,1.58,3.291619303503152,0.18942189421894218,0.6168831168831169,0.6283766233766234,1.0186315789473683
459292,Email Campaign,2023-01-02,All,Social Media,953,160,100,67.95,362.86,3.76,5.340103016924209,0.16789087093389296,0.625,0.4246875,0.6795
21674,Referral Program,2023-01-02,Inactive,App,1000,225,92,92.85,113.01,3.42,1.217124394184168,0.225,0.4088888888888889,0.4126666666666666,1.0092391304347825
888875,New User Discount,2023-01-03,Inactive,Email,491,125,52,54.54,225.15,1.69,4.128162816281629,0.2545824847250509,0.416,0.43632,1.0488461538461538
173389,Weekend Special,2023-01-03,Inactive,SMS,482,253,33,57.05,485.72,2.86,8.513935144609992,0.524896265560166,0.13043478260869565,0.22549407114624503,1.7287878787878788
833506,Festival Offer,2023-01-03,Inactive,SMS,722,70,61,58.35,490.28,2.19,8.402399314481576,0.09695290858725762,0.8714285714285714,0.8335714285714286,0.9565573770491803
939848,Flash Sale,2023-01-03,All,Email,591,162,90,75.93,308.03,3.95,4.056762807849334,0.27411167512690354,0.5555555555555556,0.46870370370370373,0.8436666666666668
516754,Membership Drive,2023-01-03,Premium,App,726,123,19,67.64,454.29,1.67,6.716292134831461,0.16942148760330578,0.15447154471544716,0.5499186991869919,3.56
716002,Category Promotion,2023-01-03,All,Social Media,824,76,31,55.52,186.64,3.1,3.3616714697406334,0.09223300970873786,0.40789473684210525,0.7305263157894737,1.790967741935484
745415,App Push Notification,2023-01-03,Inactive,Email,973,114,23,90.62,199.43,2.99,2.2007283160450233,0.1171634121274409,0.20175438596491227,0.7949122807017545,3.9400000000000004
362722,Email Campaign,2023-01-03,Premium,Social Media,664,111,100,71.52,320.42,2.31,4.480145413870247,0.16716867469879518,0.9009009009009009,0.6443243243243243,0.7152
272388,Referral Program,2023-01-03,Premium,Social Media,541,161,21,80.27,345.19,2.8,4.300361280677713,0.2975970425138632,0.13043478260869565,0.49857142857142855,3.822380952380952
323908,New User Discount,2023-01-04,Premium,App,863,298,53,93.99,418.23,3.53,4.449728694541973,0.34530706836616454,0.17785234899328858,0.31540268456375836,1.7733962264150942
551553,Weekend Special,2023-01-04,New Users,App,444,109,21,55.58,386.2,3.75,6.9485426412378555,0.24549549549549549,0.1926605504587156,0.5099082568807339,2.6466666666666665
675098,Festival Offer,2023-01-04,Inactive,App,639,165,87,68.96,430.87,2.65,6.248114849187935,0.25821596244131456,0.5272727272727272,0.4179393939393939,0.7926436781609195
854411,Flash Sale,2023-01-04,Inactive,App,573,266,76,97.91,357.28,3.61,3.6490654682872026,0.4642233856893543,0.2857142857142857,0.3680827067669173,1.2882894736842105
200951,Membership Drive,2023-01-04,Inactive,App,614,133,37,73.03,110.17,3.67,1.5085581267972066,0.21661237785016288,0.2781954887218045,0.5490977443609023,1.9737837837837837
804200,Category Promotion,2023-01-04,All,Social Media,833,52,11,69.09,229.31,3.52,3.3190041974236504,0.062424969987995196,0.21153846153846154,1.3286538461538462,6.280909090909091
138901,App Push Notification,2023-01-04,New Users,Email,778,209,24,85.95,485.69,2.96,5.650843513670739,0.2686375321336761,0.11483253588516747,0.41124401913875597,3.5812500000000003
422013,Email Campaign,2023-01-04,Inactive,Email,529,150,50,66.93,100.56,2.15,1.5024652622142536,0.2835538752362949,0.3333333333333333,0.44620000000000004,1.3386000000000002
349433,Referral Program,2023-01-04,Inactive,Social Media,660,123,92,85.9,274.53,1.68,3.19592549476135,0.18636363636363637,0.7479674796747967,0.6983739837398374,0.9336956521739131
186782,New User Discount,2023-01-05,New Users,SMS,546,229,93,75.66,203.63,2.48,2.6913825006608514,0.4194139194139194,0.40611353711790393,0.33039301310043667,0.8135483870967741
844047,Weekend Special,2023-01-05,New Users,Email,750,105,18,91.86,375.42,3.72,4.0868713259307645,0.14,0.17142857142857143,0.8748571428571429,5.1033333333333335
597590,Festival Offer,2023-01-05,Premium,App,402,65,15,59.25,245.76,3.8,4.147848101265823,0.16169154228855723,0.23076923076923078,0.9115384615384615,3.95
